Leaf,SD1,SD2,SD3,SD4,SD5,GCL1,GCL2,GCL3,GCL4,GCL5,GCL6,GCL7,GCL8,GCL9,GCL10,Data collected by
ASY02-01-04,0.00020714,,,,,23.89000000,24.71500000,23.77900000,22.77600000,23.40500000,,,,,,Hong Jhun
ASY02-01-05,0.00017866,,,,,24.80200000,25.58200000,23.51400000,24.36300000,21.51400000,,,,,,Hong Jhun
ASY02-02-01,,,,,,,,,,,,,,,,
ASY02-02-02,,,,,,,,,,,,,,,,
ASY02-02-03,,,,,,,,,,,,,,,,
ASY02-02-04,,,,,,,,,,,,,,,,
ASY02-02-05,,,,,,,,,,,,,,,,
ASY03-01-01,0.00019678,,,,,21.14600000,21.80500000,26.94800000,22.18200000,23.08300000,,,,,,Hong Jhun
ASY03-01-02,0.00022009,,,,,23.51400000,28.33300000,20.98300000,24.37300000,26.90500000,,,,,,Hong Jhun
ASY03-01-03,0.00018125,,,,,33.25100000,26.24200000,19.94700000,22.76500000,27.62100000,,,,,,Hong Jhun
ASY03-01-04,0.00021750,,,,,24.42600000,20.55200000,24.84500000,21.67400000,26.42700000,,,,,,Hong Jhun
ASY03-01-05,0.00022009,,,,,25.48100000,26.84800000,22.73700000,23.32600000,25.03000000,,,,,,Hong Jhun
ASY03-02-01,,,,,,,,,,,,,,,,
ASY03-02-02,,,,,,,,,,,,,,,,
ASY03-02-03,,,,,,,,,,,,,,,,
ASY03-02-04,,,,,,,,,,,,,,,,
ASY03-02-05,,,,,,,,,,,,,,,,
ASY04-01-01,,,,,,,,,,,,,,,,
ASY04-01-02,,,,,,,,,,,,,,,,
ASY04-01-03,,,,,,,,,,,,,,,,
ASY04-01-04,,,,,,,,,,,,,,,,
ASY04-01-05,,,,,,,,,,,,,,,,
ASY04-02-01,,,,,,,,,,,,,,,,
ASY04-02-02,,,,,,,,,,,,,,,,
ASY04-02-03,,,,,,,,,,,,,,,,
ASY04-02-04,,,,,,,,,,,,,,,,
ASY04-02-05,,,,,,,,,,,,,,,,
ASY05-01-01,,,,,,,,,,,,,,,,
ASY05-01-02,,,,,,,,,,,,,,,,
ASY05-01-03,,,,,,,,,,,,,,,,
ASY05-01-04,,,,,,,,,,,,,,,,
ASY05-01-05,,,,,,,,,,,,,,,,
ASY05-02-01,,,,,,,,,,,,,,,,
ASY05-02-02,,,,,,,,,,,,,,,,
ASY05-02-03,,,,,,,,,,,,,,,,
ASY05-02-04,,,,,,,,,,,,,,,,
ASY05-02-05,,,,,,,,,,,,,,,,
BBR01-01-01,0.00019533,0.00015025,0.00018030,0.00013523,0.00022538,21.27949870,21.48095263,19.52357678,20.32211980,18.62947042,18.84794248,22.35265906,22.24182303,21.95236937,20.93811792,Huang Jie
BBR01-01-02,0.00019533,0.00019533,0.00021035,0.00019533,0.00013523,19.01681469,19.97928448,19.76459423,19.63470372,18.29681689,20.65099152,20.45390122,20.41215589,21.09637198,22.72734882,Huang Jie
BBR01-01-03,0.00019533,0.00016528,0.00019533,0.00020284,0.00021035,20.28633809,20.62204616,20.25477455,19.09070538,23.09403861,16.90103933,20.90146349,18.00779959,18.51237987,18.38059845,Huang Jie
BBR01-01-04,0.00015777,0.00019533,0.00022538,0.00018030,0.00017279,20.98088143,19.48212236,20.11542952,21.98916926,20.24430186,17.29260177,18.38976206,19.02583285,18.10234476,17.67805514,Huang Jie
BBR01-01-05,0.00024040,0.00027797,0.00021787,0.00017279,0.00024040,17.64416434,18.67747027,19.41637711,16.81754868,17.65870975,18.69347022,18.19165357,17.45711036,18.73216102,21.42131645,Huang Jie
BBR01-02-01,0.00019533,0.00019533,0.00019533,0.00018782,0.00017279,21.32153493,22.51804037,21.31964403,21.17302629,23.70101858,18.62947042,21.63920669,18.34103494,20.70044592,22.54654938,Huang Jie
BBR01-02-02,0.00021035,0.00024040,0.00019533,0.00021787,0.00021787,19.85288487,21.31760767,17.91761805,21.66087935,21.90364225,22.28967743,24.88588769,22.01826008,22.26669568,20.28633809,Huang Jie
