Leaf,TL1,TL2,TL3,Data collected by,Area
GAX04-02-04,30677.82663,30594.0856,29931.13582,Huang Jie,4259464
GAX04-02-05,28880.18596,29617.10698,30118.85529,Huang Jie,4259464
GAX05-01-01,25621.63805,26396.34148,24551.38228,Huang Jie,4259464
GAX05-01-02,26680.66472,26765.79645,26581.83697,Huang Jie,4259464
GAX05-01-03,30698.40313,31553.99102,31299.32891,Huang Jie,4259464
GAX05-01-04,problematic,,,Huang Jie,#VALUE!
GAX05-01-05,26439.94299,27370.51569,27627.94725,Huang Jie,4259464
GAX05-02-01,27125.02304,27243.02754,27279.90322,Huang Jie,4259464
GAX05-02-02,27786.29507,27264.27557,27291.43487,Huang Jie,4259464
GAX05-02-03,25815.18591,27804.122,26396.83021,Huang Jie,4259464
GAX05-02-04,30607.24375,28936.45784,28663.75935,Huang Jie,4259464
GAX05-02-05,28806.54933,26136.02409,27165.95982,Huang Jie,4259464
GNE01-01-01,39728.83573,38200.56203,39227.08743,Huang Jie,4259464
GNE01-01-02,37296.8568,38019.12314,38126.93971,Huang Jie,4259464
GNE01-01-03,38336.64119,39491.91842,40084.38617,Huang Jie,4259464
GNE01-01-04,40116.48689,40213.83584,40121.02287,Huang Jie,4259464
GNE01-01-05,38171.25267,39911.32138,40260.94016,Huang Jie,4259464
GNE01-02-01,39695.33932,40228.83944,39876.42929,Huang Jie,4259464
GNE01-02-02,39863.51922,39631.13787,39492.26734,Huang Jie,4259464
GNE01-02-03,39864.9149,39810.83215,39854.79619,Huang Jie,4259464
GNE01-02-04,39880.96526,40157.65957,40119.9761,Huang Jie,4259464
GNE01-02-05,39592.75657,39812.92568,39800.0156,Huang Jie,4259464
GNE02-01-01,42600.80397,42038.34342,42393.19601,Huang Jie,4259464
GNE02-01-02,42796.89753,43124.18537,42547.76798,Huang Jie,4259464
GNE02-01-03,43365.63866,43356.2178,43256.77533,Huang Jie,4259464
GNE02-01-04,42422.50537,42736.53421,42619.99462,Huang Jie,4259464
GNE02-01-05,43368.77895,43350.28614,43303.53073,Huang Jie,4259464
GNE02-02-01,42389.7068,43218.0451,42903.66734,Huang Jie,4259464
GNE02-02-02,43750.49845,43122.78969,392480.2268,Huang Jie,4259464
GNE02-02-03,41485.24311,42270.66365,42999.51975,Huang Jie,4259464
GNE02-02-04,44044.1755,42966.76335,43231.63057,Huang Jie,4259464
GNE02-02-05,43370.17463,43120.34724,43139.18897,Huang Jie,4259464
GNE03-01-01,43783.99486,43703.04521,43716.65312,Huang Jie,4259464
GNE03-01-02,43085.45515,433503.2103,43125.58106,Huang Jie,4259464
GNE03-01-03,44830.40875,45287.49518,44686.65333,Huang Jie,4259464
GNE03-01-04,44097.67479,44172.69279,44361.11009,Huang Jie,4259464
GNE03-01-05,43016.3688,43575.68906,43642.68188,Huang Jie,4259464
GNE03-02-01,43338.77175,43120.69616,43473.10631,Huang Jie,4259464
GNE03-02-02,43552.66028,43186.99114,42631.50901,Huang Jie,4259464
GNE03-02-03,42771.77523,42981.12779,42948.32922,Huang Jie,4259464
GNE03-02-04,43337.37606,43089.99112,43256.07749,Huang Jie,4259464
GNE03-02-05,43120.34724,42775.26443,42363.88665,Huang Jie,4259464
GNE04-01-01,31503.81487,30549.70193,31023.87894,Huang Jie,2631214
GNE04-01-02,31259.10189,31623.45412,31460.82584,Huang Jie,2631214
GNE04-01-03,30859.46621,31340.29436,31296.16978,Huang Jie,2631214
GNE04-01-04,31031.82786,30772.43372,31283.51641,Huang Jie,2631214
GNE04-01-05,30445.3116,30812.01607,30836.99837,Huang Jie,2631214
GNE04-02-01,30748.34365,31259.34522,30986.24327,Huang Jie,2631214
GNE04-02-02,30779.4093,30991.35329,31270.37637,Huang Jie,2631214
GNE04-02-03,31583.62845,31477.53479,31332.58878,Huang Jie,2631214
GNE04-02-04,29936.50004,30950.71649,30459.10054,Huang Jie,2631214
GNE04-02-05,31112.93922,30598.61208,23056.55328,Huang Jie,2631214
GNE05-01-01,27634.4785,28087.56656,27788.18453,Huang Jie,2631214
GNE05-01-02,30365.09247,29959.37344,30171.23631,Huang Jie,2631214
GNE05-01-03,28098.11104,29077.28739,28606.59816,Huang Jie,2631214
GNE05-01-04,29897.48547,30448.06939,30023.53253,Huang Jie,2631214
GNE05-01-05,30689.4568,30820.04609,31246.12407,Huang Jie,2631214
GNE05-02-01,39187.82667,39886.47474,38955.09913,Huang Jie,4259464
GNE05-02-02,38701.65884,39474.31427,38849.44082,Huang Jie,4259464
GNE05-02-03,38448.21855,38722.60431,38326.26932,Huang Jie,4259464
GNE05-02-04,28364.07519,28299.1861,28428.07205,Huang Jie,4259464
GNE05-02-05,28137.04449,28046.92977,27997.53295,Huang Jie,4259464
GPA01-01-01,31333.44907,31586.06783,31189.34472,Huang Jie,4259464
GPA01-01-02,23689.28918,24735.70307,25269.5521,Huang Jie,4259464
GPA01-01-03,31086.76196,31923.47437,31690.04627,Huang Jie,4259464
GPA01-01-04,31034.0749,31696.67576,31620.611,Huang Jie,4259464
GPA01-01-05,25476.46222,26638.36894,27437.04896,Huang Jie,4259464
GPA01-02-01,34486.29865,32192.14349,33644.70135,Huang Jie,4259464
GPA01-02-02,24488.66705,24052.8648,24296.41161,Huang Jie,4259464
GPA01-02-03,26292.23937,27350.16765,27894.13539,Huang Jie,4259464
GPA01-02-04,23527.04094,23141.83223,23599.6165,Huang Jie,4259464
GPA01-02-05,33012.1077,33971.64027,33270.30919,Huang Jie,4259464
GPA03-01-01,26433.20343,27298.52735,26291.54153,Huang Jie,4259464
GPA03-01-02,24449.93682,26145.69258,26497.7538,Huang Jie,4259464
GPA03-01-03,31239.93826,30168.75098,28798.18954,Huang Jie,4259464
GPA03-01-04,31567.57502,30559.54243,31066.52455,Huang Jie,4259464
GPA03-01-05,21737.77438,22426.89323,22181.95073,Huang Jie,4259464
GPA03-02-01,21672.87508,21752.77798,22169.04066,Huang Jie,4259464
GPA03-02-02,22764.29977,22967.37176,22234.98671,Huang Jie,4259464
GPA03-02-03,22258.71334,21691.71681,21943.98665,Huang Jie,4259464
GPA03-02-04,21543.07649,21188.2239,21023.53322,Huang Jie,4259464
GPA03-02-05,22764.29977,21820.81756,21898.97585,Huang Jie,4259464
GPA04-01-01,15693.99392,15389.42076,15311.71608,Huang Jie,2631214
GPA04-01-02,15441.73759,15612.477,14972.58948,Huang Jie,2631214
GPA04-01-03,14992.7862,15337.18504,14866.49582,Huang Jie,2631214
GPA04-01-04,14667.2052,14387.93879,14558.51598,Huang Jie,2631214
GPA04-01-05,15036.82967,15118.02215,15368.33181,Huang Jie,2631214
GPA04-02-01,14315.58745,15125.88995,15327.93835,Huang Jie,2631214
GPA04-02-02,14468.23903,14355.25091,14630.94842,Huang Jie,2631214
GPA04-02-03,14226.04051,14363.7676,14299.20296,Huang Jie,2631214
GPA04-02-04,13812.21034,14047.5144,14136.7369,Huang Jie,2631214
GPA04-02-05,15117.04881,14995.21955,15310.66163,Huang Jie,2631214
GPA05-01-01,14491.51799,14631.19176,14589.74385,Huang Jie,2631214
