species,twig,indiv,hydrology,area,fresh_mass,dry_mass,thickness,ldmc,SLA
pec,pec03,pec03_l01,dry,19.893,0.43,0.1259,0.258333333,292.7906977,158.0063542
pec,pec03,pec03_l02,dry,18.517,0.4,0.1314,0.233,328.5,140.9208524
pec,pec03,pec03_l03,dry,21.482,0.49,0.1436,0.232333333,293.0612245,149.5961003
pec,pec03,pec03_l04,dry,17.132,0.4,0.1245,0.226666667,311.25,137.6064257
pec,pec03,pec03_l05,dry,16.525,0.38,0.1141,0.214666667,300.2631579,144.8290973
pec,pec04,pec04_l01,dry,17.078,0.46,0.1547,0.239,336.3043478,110.3943116
pec,pec04,pec04_l02,dry,14.124,0.39,0.1342,0.244,344.1025641,105.2459016
pec,pec04,pec04_l03,dry,16.378,0.47,0.1557,0.255333333,331.2765957,105.1894669
pec,pec04,pec04_l04,dry,16.891,0.51,0.1754,0.264666667,343.9215686,96.29988597
pec,pec04,pec04_l05,dry,17.633,0.58,0.198,0.273333333,341.3793103,89.05555556
rci,rci01,rci01_l01,dry,22.502,0.56,0.2733,0.234666667,488.0357143,82.33443103
rci,rci01,rci01_l02,dry,20.936,0.44,0.2134,0.203,485,98.10684161
rci,rci01,rci01_l03,dry,19.108,0.4,0.1905,0.186333333,476.25,100.3044619
rci,rci01,rci01_l04,dry,21.606,0.48,0.2399,0.212666667,499.7916667,90.06252605
rci,rci01,rci01_l05,dry,18.381,0.39,0.186,0.198333333,476.9230769,98.82258065
tfl,tfl01,tfl01_l01,wet,35.287,1.18,0.471,0.275666667,399.1525424,74.91932059
tfl,tfl01,tfl01_l02,wet,52.765,1.72,0.7365,0.281333333,428.1976744,71.64290563
tfl,tfl01,tfl01_l03,wet,49.993,1.5,0.5809,0.248,387.2666667,86.06128421
tfl,tfl01,tfl01_l04,wet,33.205,0.99,0.3916,0.257,395.5555556,84.79315628
tfl,tfl01,tfl01_l05,wet,43.061,1.3,0.5331,0.253,410.0769231,80.77471394
tfl,tfl02,tfl02_l01,wet,27.746,0.71,0.2574,0.222,362.5352113,107.7933178
tfl,tfl02,tfl02_l02,wet,37.98,0.97,0.3173,0.223,327.1134021,119.6974472
tfl,tfl02,tfl02_l03,wet,30.334,0.8,0.2846,0.24,355.75,106.5846803
tfl,tfl02,tfl02_l04,wet,17.497,0.44,0.1548,0.209333333,351.8181818,113.0297158
tfl,tfl02,tfl02_l05,wet,50.996,1.33,0.4382,0.22,329.4736842,116.376084
twa,twa01,twa01_l01,dry,74.088,1.33,0.3362,0.161333333,252.7819549,220.3688281
twa,twa01,twa01_l02,dry,76.844,1.46,0.4186,0.167333333,286.7123288,183.5738175
twa,twa01,twa01_l03,dry,77.319,1.36,0.3596,0.162,264.4117647,215.0139043
twa,twa01,twa01_l04,dry,81.638,1.5,0.4038,0.168,269.2,202.1743437
twa,twa01,twa01_l05,dry,58.184,1.05,0.3895,0.162333333,370.952381,149.381258
twa,twa02,twa02_l01,dry,23.706,0.53,0.2066,0.203666667,389.8113208,114.7434656
twa,twa02,twa02_l02,dry,30.32,0.57,0.2209,0.179,387.5438596,137.2566772
twa,twa02,twa02_l03,dry,35.687,0.76,0.3211,0.194,422.5,111.1398318
twa,twa02,twa02_l04,dry,24.416,0.52,0.2021,0.192,388.6538462,120.8114795
twa,twa02,twa02_l05,dry,22.962,0.43,0.1495,0.173,347.6744186,153.5919732
twa,twa03,twa03_l01,dry,66.969,1.18,0.3235,0.145333333,274.1525424,207.0139104
twa,twa03,twa03_l02,dry,58.812,1.13,0.3381,0.158333333,299.2035398,173.9485359
twa,twa03,twa03_l03,dry,71.076,1.3,0.3866,0.151666667,297.3846154,183.8489395
twa,twa03,twa03_l04,dry,54.915,0.97,0.2881,0.153666667,297.0103093,190.610899
twa,twa03,twa03_l05,dry,46.386,0.9,0.283,0.161333333,314.4444444,163.9081272
tfl,tfl03,tfl03_l01,wet,46.567,0.5873,0.218,0.273,371.1901924,213.6100917
tfl,tfl03,tfl03_l02,wet,32.243,1.0668,0.4621,0.277666667,433.1646044,69.77494049
tfl,tfl03,tfl03_l03,wet,52.714,1.4403,0.6407,0.319,444.837881,82.27563602
tfl,tfl03,tfl03_l04,wet,57.728,1.5653,0.6751,0.265666667,431.2911263,85.51029477
tfl,tfl03,tfl03_l05,wet,59.297,1.7452,0.679,0.278,389.0671556,87.32989691
bbr,bbr02,bbr02_l01,wet,58.355,1.8065,0.5931,0.303333333,328.3144201,98.38981622
bbr,bbr02,bbr02_l02,wet,42.896,1.7128,0.5578,0.355,325.6655768,76.90211545
bbr,bbr02,bbr02_l03,wet,53.394,2.1406,0.7339,0.366,342.8477997,72.75378117
bbr,bbr02,bbr02_l04,wet,69.503,2.8202,0.9552,0.361666667,338.699383,72.76277219
bbr,bbr02,bbr02_l05,wet,89.442,2.8421,0.7467,0.335666667,262.7282643,119.7830454
pax,pax05,pax05_l01,wet,0,1.5312,0.6046,0.39,394.8537095,0
pax,pax05,pax05_l02,wet,0,1.6381,0.6775,0.422666667,413.588914,0
pax,pax05,pax05_l03,wet,0,1.4039,0.6012,0.394666667,428.2356293,0
pax,pax05,pax05_l04,wet,0,1.5571,0.6528,0.43,419.2408965,0
pax,pax05,pax05_l05,wet,0,1.8907,0.7752,0.358666667,410.0068758,0
gne,gne01,gne01_l01,dry,33.59,0.5391,0.2461,0.306333333,456.5015767,136.489232
gne,gne01,gne01_l02,dry,52.207,0.9242,0.3959,0.339333333,428.3704826,131.8691589
gne,gne01,gne01_l03,dry,76.366,1.5817,0.6483,0.374,409.8754505,117.7942311
gne,gne01,gne01_l04,dry,44.126,0.8356,0.3776,0.328333333,451.8908569,116.8591102
gne,gne01,gne01_l05,dry,75,1.298,0.5739,0.323666667,442.1417565,130.6847883
pec,pec05,pec05X_l01,wet,24.88,0.5611,0.1984,0.207666667,353.5911602,125.4032258
pec,pec05,pec05X_l02,wet,23.011,0.4845,0.1633,0.209666667,337.0485036,140.9124311
pec,pec05,pec05X_l03,wet,20.265,0.4217,0.1374,0.203666667,325.8240455,147.489083
pec,pec05,pec05X_l04,wet,21.046,0.4696,0.1591,0.221333333,338.7989779,132.2815839
pec,pec05,pec05X_l05,wet,21.466,0.459,0.1664,0.206666667,362.5272331,129.0024038
twa,twa05,twa05_l01,#N/A,8.625,0.2807,0.2124,0.137333333,756.6797292,40.60734463
