,indiv,hydrology,area,fresh_mass,dry_mass,thickness,ldmc,sla,dbh
ppo04_l04,ppo04,dry,220.309,4.71,2.31,0.233,490.4458599,95.37186147,5.4
ppo04_l05,ppo04,dry,215.070,4.99,2.47,0.227,494.98998,87.07287449,5.4
ema04_l01,ema04,dry,10.966,0.2607,0.1356,0.212,520.1380898,80.87020649,12.6
ema04_l02,ema04,dry,15.550,0.3765,0.1975,0.220,524.5683931,78.73417722,12.6
ema04_l03,ema04,dry,17.191,0.4503,0.2354,0.243,522.7626027,73.028887,12.6
ema04_l04,ema04,dry,20.640,0.5327,0.2667,0.226,500.6570302,77.39032621,12.6
ema04_l05,ema04,dry,23.235,0.5455,0.2785,0.222,510.5407883,83.42908438,12.6
ema05_l01,ema05,dry,11.102,0.2714,0.1448,0.222,533.5298452,76.67127072,10
ema05_l02,ema05,dry,11.871,0.2807,0.1433,0.207,510.5094407,82.84019539,10
ema05_l03,ema05,dry,20.841,0.4494,0.228,0.194,507.3431242,91.40789474,10
ema05_l04,ema05,dry,22.676,0.5091,0.2546,0.203,500.0982125,89.06520031,10
ema05_l05,ema05,dry,24.368,0.5489,0.2801,0.203,510.2933139,86.99750089,10
kma01_l01,kma01,dry,32.462,0.6449,0.2698,0.157,418.3594356,120.3187546,44
kma01_l02,kma01,dry,39.434,0.8168,0.3328,0.159,407.4436827,118.4915865,44
kma01_l03,kma01,dry,44.667,0.8363,0.3635,0.158,434.6526366,122.8803301,44
kma01_l04,kma01,dry,64.160,1.1936,0.4683,0.155,392.3424933,137.0061926,44
kma01_l05,kma01,dry,60.364,1.0784,0.4168,0.145,386.4985163,144.8272553,44
ppi01_l01,ppi01,wet,471.071,7.3671,3.9967,0.148,542.5065494,117.8649886,0
ppi01_l02,ppi01,wet,569.355,10.4961,5.5542,0.179,529.1679767,102.5089122,0
ppi01_l03,ppi01,wet,363.705,5.7842,3.3198,0.164,573.9428097,109.5562986,0
ppi01_l04,ppi01,wet,479.808,10.1140,5.4715,0.196,540.9827961,87.69222334,0
ppi01_l05,ppi01,wet,275.112,5.6456,3.0637,0.186,542.6703982,89.79730391,0
bpa03_l01,bpa03,wet,0.000,1.9718,0.8856,0.342,449.1327721,0,0
bpa03_l02,bpa03,wet,91.958,3.3063,1.3964,0.324,422.3452197,65.8536236,0
bpa03_l03,bpa03,wet,137.442,4.7710,1.9490,0.319,408.5097464,70.51924064,0
bpa03_l04,bpa03,wet,100.380,3.4089,1.4257,0.300,418.2287541,70.40751911,0
bpa03_l05,bpa03,wet,128.618,4.8332,2.1416,0.348,443.1018787,60.05696675,0
gne02_l01,gne02,dry,34.514,0.5250,0.1953,0.342,372,176.7229903,16.6
gne02_l02,gne02,dry,49.840,0.8628,0.3597,0.259,416.8984701,138.559911,16.6
gne02_l03,gne02,dry,58.410,0.9246,0.4199,0.271,454.1423318,139.1045487,16.6
gne02_l04,gne02,dry,71.507,1.2436,0.4804,0.256,386.297845,148.8488759,16.6
gne02_l05,gne02,dry,73.263,1.2595,0.4608,0.234,365.859468,158.9908854,16.6
bpa04_l01,bpa04,wet,131.425,4.0385,1.5232,0.247,377.1697412,86.28216912,26.7
bpa04_l02,bpa04,wet,163.973,5.2481,1.8529,0.251,353.0611078,88.49533164,26.7
bpa04_l03,bpa04,wet,142.864,4.4076,1.6131,0.251,365.9814865,88.56487509,26.7
bpa04_l04,bpa04,wet,176.263,5.3797,2.0076,0.250,373.1806606,87.7978681,26.7
bpa04_l05,bpa04,wet,122.750,3.7279,1.3821,0.247,370.7449234,88.81412344,26.7
ppo05_l01,ppo05,wet,135.839,2.6437,0.8781,0.199,332.1481257,154.6965038,0
ppo05_l02,ppo05,wet,165.591,3.1105,0.9773,0.186,314.1938595,169.437225,0
ppo05_l03,ppo05,wet,266.730,5.6251,1.7208,0.197,305.9145615,155.0034868,0
ppo05_l04,ppo05,wet,267.883,5.7249,1.7081,0.190,298.3632902,156.8309818,0
ppo05_l05,ppo05,wet,289.394,6.0793,1.9490,0.198,320.5961213,148.4833248,0
hcr01_l01,hcr01,wet,61.387,3.0990,0.8441,0.571,272.3781865,72.72479564,13.6
hcr01_l02,hcr01,wet,121.061,6.7424,2.1846,0.602,324.0092549,55.41563673,13.6
hcr01_l03,hcr01,wet,124.727,6.3053,2.1547,0.543,341.7283872,57.88601661,13.6
hcr01_l04,hcr01,wet,134.712,7.1964,2.3385,0.575,324.9541437,57.60615779,13.6
hcr01_l05,hcr01,wet,118.252,6.6862,2.1853,0.604,326.8373665,54.11247884,13.6
kma02_l01,kma02,dry,19.225,0.4321,0.1913,0.202,442.7215922,100.4966022,6.9
kma02_l02,kma02,dry,33.259,0.7821,0.4231,0.218,540.9794144,78.60789411,6.9
kma02_l03,kma02,dry,48.651,1.0116,0.5182,0.190,512.2578094,93.88460054,6.9
