,indiv,hydrology,area,fresh_mass,dry_mass,thickness,ldmc,sla,dbh
ema03_l05,ema03,dry,16.279,0.2996,0.1553,0.162,518.3578104,104.8229234,6.8
ppo01_l01,ppo01,dry,206.300,4.5104,2.4539,0.213,544.0537425,84.07025551,6.8
ppo01_l02,ppo01,dry,114.125,2.9664,1.7270,0.271,582.1871629,66.08280255,6.8
ppo01_l03,ppo01,dry,152.693,3.6452,2.0815,0.249,571.0249095,73.35719433,6.8
ppo01_l04,ppo01,dry,116.866,2.3860,1.3104,0.204,549.2036882,89.18345543,6.8
ppo01_l05,ppo01,dry,108.907,2.8667,1.6321,0.260,569.3305892,66.72814166,6.8
ppo02_l01,ppo02,dry,115.729,3.0274,1.6125,0.235,532.6352646,71.76992248,5.3
ppo02_l02,ppo02,dry,133.726,2.6583,1.4186,0.226,533.6493248,94.26617792,5.3
ppo02_l03,ppo02,dry,186.879,3.1108,1.6079,0.229,516.8766877,116.2255115,5.3
ppo02_l04,ppo02,dry,170.669,3.7942,2.0098,0.218,529.7032312,84.91839984,5.3
ppo02_l05,ppo02,dry,142.320,4.2584,2.2678,0.214,532.5474357,62.75685687,5.3
twa04_l01,twa04,dry,37.862,0.4928,0.2922,0.136,592.9383117,129.5756331,0
twa04_l02,twa04,dry,42.380,0.4747,0.2864,0.128,603.3284179,147.9748603,0
twa04_l03,twa04,dry,42.616,0.5911,0.3569,0.147,603.7895449,119.4059961,0
twa04_l04,twa04,dry,47.007,0.6453,0.3757,0.145,582.2098249,125.1184456,0
twa04_l05,twa04,dry,41.852,0.5119,0.2992,0.135,584.489158,139.8796791,0
asy01_l01,asy01,dry,23.766,0.4608,0.1360,0.189,295.1388889,174.75,11.25
asy01_l02,asy01,dry,17.175,0.3225,0.1029,0.191,319.0697674,166.909621,11.25
asy01_l03,asy01,dry,21.910,0.4383,0.1464,0.192,334.017796,149.6584699,11.25
asy01_l04,asy01,dry,34.632,0.6207,0.1963,0.181,316.2558402,176.4238411,11.25
asy01_l05,asy01,dry,30.837,0.6871,0.1889,0.220,274.9235919,163.2451032,11.25
mgi03_l01,mgi03,dry,590.022,9.6000,5.9337,0.330,618.09375,99.43576521,0
mgi03_l02,mgi03,dry,1376.294,24.0400,7.0116,0.207,291.6638935,196.2881511,0
mgi03_l03,mgi03,dry,1337.765,18.1100,8.9154,0.243,492.2915516,150.0510353,0
mgi03_l04,mgi03,dry,1681.207,25.0600,10.9393,0.260,436.5243416,153.6850621,0
mgi03_l05,mgi03,dry,1877.238,29.4500,13.8441,0.279,470.0882852,135.5984138,0
hcr02_l01,hcr02,wet,154.303,7.1636,1.9323,0.472,269.7386789,79.85457745,22.7
hcr02_l02,hcr02,wet,162.247,7.2635,2.2408,0.460,308.5014112,72.4058372,22.7
hcr02_l03,hcr02,wet,158.539,7.8938,2.5495,0.491,322.974993,62.18434987,22.7
hcr02_l04,hcr02,wet,117.364,5.7631,1.7778,0.497,308.4798112,66.01642479,22.7
hcr02_l05,hcr02,wet,298.005,8.9525,2.8519,0.491,318.5590617,104.4934956,22.7
bpa01_l01,bpa01,dry,105.252,3.0817,1.2486,0.226,405.1659798,84.29601153,17.8
bpa01_l02,bpa01,dry,218.197,6.9022,2.6809,0.230,388.4123903,81.38945876,17.8
bpa01_l03,bpa01,dry,123.819,3.6453,1.3645,0.216,374.3176145,90.74312935,17.8
bpa01_l04,bpa01,dry,101.628,3.0976,1.2034,0.230,388.4943182,84.45072295,17.8
bpa01_l05,bpa01,dry,144.192,4.4125,1.7079,0.241,387.0594901,84.42648867,17.8
bpa02_l01,bpa02,dry,88.120,2.5206,0.9555,0.241,379.0764104,92.22396651,27
bpa02_l02,bpa02,dry,76.052,2.1928,0.7441,0.235,339.3378329,102.2066926,27
bpa02_l03,bpa02,dry,104.682,3.1937,1.1435,0.265,358.0486583,91.54525579,27
bpa02_l04,bpa02,dry,146.210,4.8755,1.8315,0.269,375.6537791,79.83073983,27
bpa02_l05,bpa02,dry,185.154,6.2072,2.4479,0.303,394.3646088,75.6378937,27
mre04_l01,mre04,wet,118.884,3.6263,1.6725,0.277,461.2139095,71.08161435,11.4
mre04_l02,mre04,wet,280.342,6.7460,2.9164,0.241,432.3154462,96.12604581,11.4
mre04_l03,mre04,wet,318.637,8.3632,3.9015,0.249,466.5080352,81.67038319,11.4
mre04_l04,mre04,wet,262.174,7.3432,3.3039,0.252,449.9264626,79.35288598,11.4
mre04_l05,mre04,wet,206.925,5.3289,2.2192,0.251,416.4461709,93.24306056,11.4
afr02_l01,afr02,dry,20.199,0.3327,0.0622,0.161,186.9552149,324.7427653,4.9
afr02_l02,afr02,dry,26.148,0.4440,0.0917,0.165,206.5315315,285.1472192,4.9
afr02_l03,afr02,dry,28.496,0.5053,0.1047,0.173,207.2036414,272.1680993,4.9
afr02_l04,afr02,dry,28.638,0.4945,0.0998,0.173,201.8200202,286.9539078,4.9
afr02_l05,afr02,dry,23.213,0.3995,0.0770,0.170,192.7409262,301.4675325,4.9
csq03_l01,csq03,dry,211.158,7.1657,3.1596,0.327,440.9338934,66.83061147,12
csq03_l02,csq03,dry,116.341,3.5100,1.5171,0.280,432.2222222,76.68644124,12
csq03_l03,csq03,dry,206.315,7.5517,3.2276,0.329,427.4004529,63.92210931,12
csq03_l04,csq03,dry,177.897,7.1300,2.5216,0.293,353.6605891,70.54925444,12
csq03_l05,csq03,dry,205.121,5.8856,3.0444,0.310,517.2624711,67.37649455,12
xfl01_l01,xfl01,dry,58.054,1.1992,0.4660,0.217,388.5923949,124.5793991,8.1
xfl01_l02,xfl01,dry,47.644,0.9928,0.3762,0.221,378.9282836,126.6454014,8.1
xfl01_l03,xfl01,dry,37.666,0.8958,0.3343,0.254,373.185979,112.6712534,8.1
xfl01_l04,xfl01,dry,34.049,0.8742,0.3499,0.253,400.2516587,97.31066019,8.1
xfl01_l05,xfl01,dry,32.562,0.7611,0.3129,0.231,411.1154907,104.0651965,8.1
sce01_l01,sce01,wet,28.839,0.8905,0.2540,0.279,285.2330152,113.5393701,7.7
sce01_l02,sce01,wet,59.377,1.8792,0.5331,0.274,283.6845466,111.380604,7.7
sce01_l03,sce01,wet,60.892,1.9687,0.5823,0.300,295.7789404,104.5715267,7.7
sce01_l04,sce01,wet,43.595,1.3557,0.3978,0.286,293.4277495,109.5902464,7.7
sce01_l05,sce01,wet,49.401,1.4935,0.3898,0.281,260.9976565,126.7342227,7.7
afr03_l01,afr03,dry,15.361,0.3166,0.1356,0.225,428.3006949,113.2817109,7.1
afr03_l02,afr03,dry,20.701,0.4316,0.1764,0.222,408.7117702,117.3526077,7.1
afr03_l03,afr03,dry,20.352,0.4134,0.1586,0.212,383.6477987,128.3228247,7.1
afr03_l04,afr03,dry,25.973,0.4383,0.2199,0.219,501.7111567,118.1127785,7.1
afr03_l05,afr03,dry,19.228,0.3787,0.1529,0.214,403.7496699,125.7553957,7.1
gpa02_l01,gpa02,dry,12.317,0.3614,0.1194,0.280,330.3818484,103.1574539,7
gpa02_l02,gpa02,dry,11.769,0.3974,0.1166,0.311,293.4071465,100.9348199,7
gpa02_l03,gpa02,dry,8.795,0.2496,0.0821,0.280,328.9262821,107.1254568,7
gpa02_l04,gpa02,dry,10.879,0.3517,0.1184,0.307,336.6505544,91.88344595,7
gpa02_l05,gpa02,dry,9.205,0.3019,0.0930,0.307,308.0490229,98.97849462,7
hcr03_l01,hcr03,wet,96.477,4.5881,1.8412,0.465,401.2990127,52.39897893,21.6
hcr03_l02,hcr03,wet,136.066,6.4442,2.4973,0.478,387.5267683,54.48524406,21.6
hcr03_l03,hcr03,wet,153.327,6.6880,2.3635,0.434,353.3941388,64.87285805,21.6
hcr03_l04,hcr03,wet,127.315,6.3634,2.6376,0.490,414.4953955,48.26925993,21.6
hcr03_l05,hcr03,wet,141.640,6.8196,2.7411,0.472,401.9443956,51.67268615,21.6
xfl02_l01,xfl02,dry,101.095,2.3890,1.2390,0.254,518.6270406,81.59402744,9.5
xfl02_l02,xfl02,dry,73.068,1.6206,0.8488,0.261,523.7566333,86.08388313,9.5
xfl02_l03,xfl02,dry,80.612,1.9881,0.9248,0.283,465.1677481,87.16695502,9.5
xfl02_l04,xfl02,dry,93.817,1.8050,0.9937,0.254,550.5263158,94.4117943,9.5
xfl02_l05,xfl02,dry,79.253,1.6646,0.5730,0.239,344.2268413,138.3123909,9.5
mbe01_l01,mbe01,wet,233.691,5.5419,2.5137,0.238,453.5809019,92.96694116,7.5
mbe01_l02,mbe01,wet,121.029,2.4500,1.1152,0.190,455.1836735,108.5267217,7.5
mbe01_l03,mbe01,wet,152.777,3.5007,1.7696,0.211,505.4989002,86.33419982,7.5
mbe01_l04,mbe01,wet,166.281,3.9407,1.7930,0.237,454.9953054,92.73898494,7.5
mbe01_l05,mbe01,wet,235.079,5.6045,2.7542,0.238,491.4265323,85.35291555,7.5
afr04_l01,afr04,dry,19.754,0.3968,0.1537,0.212,387.3487903,128.5230969,4.5
afr04_l02,afr04,dry,14.210,0.2514,0.0828,0.184,329.3556086,171.6183575,4.5
afr04_l03,afr04,dry,15.867,0.3147,0.1295,0.201,411.5030187,122.5250965,4.5
afr04_l04,afr04,dry,16.755,0.3034,0.1018,0.178,335.5306526,164.5874263,4.5
afr04_l05,afr04,dry,15.002,0.3080,0.1255,0.215,407.4675325,119.5378486,4.5
pax06_l01,pax06,dry,89.637,2.7912,0.8943,0.325,320.399828,100.231466,5.2
pax06_l02,pax06,dry,93.419,3.1940,1.0304,0.318,322.6048842,90.66284938,5.2
pax06_l03,pax06,dry,79.441,2.6431,0.8340,0.329,315.5385721,95.2529976,5.2
pax06_l04,pax06,dry,86.776,3.0493,1.0260,0.340,336.4706654,84.57699805,5.2
pax06_l05,pax06,dry,89.733,2.7993,0.7441,0.317,265.8164541,120.5926623,5.2
acl01_l01,acl01,dry,439.328,7.0004,2.5958,0.161,370.8073824,169.2457046,5.5
acl01_l02,acl01,dry,223.643,3.7038,1.5092,0.162,407.4734057,148.1864564,5.5
acl01_l03,acl01,dry,398.227,5.8664,2.2482,0.147,383.2333288,177.131483,5.5
acl01_l04,acl01,dry,712.011,12.0250,4.8690,0.167,404.9064449,146.2335182,5.5
acl01_l05,acl01,dry,542.106,8.3068,3.2355,0.148,389.5001685,167.5493741,5.5
csq04_l01,csq04,dry,0.000,0.0000,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,11.7
csq04_l02,csq04,dry,0.000,0.0000,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,11.7
csq04_l03,csq04,dry,0.000,0.0000,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,11.7
csq04_l04,csq04,dry,0.000,0.0000,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,11.7
csq04_l05,csq04,dry,0.000,0.0000,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,11.7
gne03_l01,gne03,dry,49.100,0.8697,0.3788,0.257,435.5524894,129.6198522,5.7
gne03_l02,gne03,dry,59.602,0.8826,0.3755,0.201,425.4475414,158.7270306,5.7
gne03_l03,gne03,dry,41.387,0.6390,0.2608,0.236,408.1377152,158.6924847,5.7
gne03_l04,gne03,dry,66.834,1.1873,0.5380,0.241,453.128948,124.2267658,5.7
gne03_l05,gne03,dry,60.020,1.3549,0.5649,0.236,416.9311388,106.2488936,5.7
asy02_l01,asy02,dry,37.618,0.6717,0.1796,0.161,267.3812714,209.454343,6.2
asy02_l02,asy02,dry,29.764,0.4896,0.1121,0.141,228.9624183,265.5129349,6.2
asy02_l03,asy02,dry,46.592,0.8033,0.1835,0.152,228.4327151,253.9073569,6.2
asy02_l04,asy02,dry,39.141,0.7182,0.1978,0.163,275.4107491,197.8816987,6.2
asy02_l05,asy02,dry,40.318,0.6970,0.1621,0.148,232.5681492,248.7230105,6.2
asy03_l01,asy03,dry,29.897,0.5492,0.1389,0.168,252.9133285,215.2411807,6.1
asy03_l02,asy03,dry,39.515,0.7655,0.2241,0.187,292.7498367,176.3275324,6.1
asy03_l03,asy03,dry,34.836,0.6519,0.1750,0.172,268.4460807,199.0628571,6.1
asy03_l04,asy03,dry,30.001,0.5511,0.1531,0.174,277.8080203,195.9568909,6.1
asy03_l05,asy03,dry,30.316,0.5484,0.1442,0.168,262.9467542,210.2357836,6.1
acl02_l01,acl02,dry,428.672,6.9747,2.7847,0.153,399.2573157,153.9383057,7
acl02_l02,acl02,dry,308.669,4.1351,1.6725,0.153,404.4642209,184.5554559,7
acl02_l03,acl02,dry,330.918,4.8543,1.8576,0.171,382.6710339,178.1427649,7
acl02_l04,acl02,dry,555.245,7.8969,3.2703,0.171,414.1245299,169.7841177,7
acl02_l05,acl02,dry,288.166,4.5526,1.9314,0.171,424.241093,149.2005799,7
asy04_l01,asy04,dry,27.931,0.5442,0.1338,0.170,245.8654906,208.7518685,9.3
asy04_l02,asy04,dry,28.721,0.5817,0.1570,0.178,269.8985731,182.9363057,9.3
asy04_l03,asy04,dry,35.742,0.7220,0.1866,0.170,258.4487535,191.5434084,9.3
asy04_l04,asy04,dry,26.107,0.4346,0.1038,0.145,238.8403129,251.5125241,9.3
asy04_l05,asy04,dry,27.343,0.4386,0.1002,0.142,228.4541724,272.8842315,9.3
asy05_l01,asy05,dry,44.896,0.7333,0.2106,0.151,287.1948725,213.1813865,8.7
asy05_l02,asy05,dry,38.999,0.6995,0.2410,0.176,344.5318084,161.8215768,8.7
asy05_l03,asy05,dry,42.945,0.7485,0.2212,0.148,295.5243821,194.1455696,8.7
asy05_l04,asy05,dry,39.914,0.8065,0.2736,0.157,339.2436454,145.8845029,8.7
asy05_l05,asy05,dry,46.225,0.9898,0.3419,0.173,345.4233178,135.200351,8.7
ppo03_l01,ppo03,dry,343.129,7.1239,2.5042,0.221,351.5209366,137.021404,4.9
ppo03_l02,ppo03,dry,277.676,5.6952,2.4030,0.218,421.9342604,115.553891,4.9
ppo03_l03,ppo03,dry,265.548,5.1675,2.1205,0.209,410.3531688,125.2289554,4.9
ppo03_l04,ppo03,dry,296.466,6.1338,2.5814,0.219,420.8484137,114.8469823,4.9
ppo03_l05,ppo03,dry,296.101,5.9837,2.0961,0.216,350.3016528,141.2628214,4.9
twa06_l01,twa06,dry,60.842,0.9936,0.2051,0.105,206.421095,296.6455388,6.7
twa06_l02,twa06,dry,77.116,1.1084,0.3021,0.112,272.5550343,255.2664681,6.7
twa06_l03,twa06,dry,71.888,1.0436,0.2792,0.120,267.5354542,257.47851,6.7
twa06_l04,twa06,dry,69.319,0.9739,0.2656,0.093,272.7179382,260.9902108,6.7
twa06_l05,twa06,dry,77.870,1.1064,0.2980,0.093,269.3420101,261.3087248,6.7
bbr03_l01,bbr03,wet,57.294,1.7882,0.5656,0.328,316.2957164,101.2977369,6.3
bbr03_l02,bbr03,wet,55.098,2.1856,0.7447,0.367,340.7302343,73.98684034,6.3
bbr03_l03,bbr03,wet,50.708,1.4480,0.5630,0.360,388.8121547,90.06749556,6.3
bbr03_l04,bbr03,wet,84.168,2.2428,0.7521,0.319,335.3397539,111.9106502,6.3
bbr03_l05,bbr03,wet,69.769,1.9499,0.6530,0.328,334.8889687,106.8437979,6.3
mbe02_l01,mbe02,wet,173.775,5.3875,2.0548,0.276,381.4013921,84.57027448,15
mbe02_l02,mbe02,wet,212.257,7.0599,2.7676,0.292,392.0168841,76.69352508,15
mbe02_l03,mbe02,wet,184.336,4.9970,1.9727,0.307,394.7768661,93.44350383,15
mbe02_l04,mbe02,wet,169.829,5.7328,2.4010,0.296,418.8180296,70.73261141,15
mbe02_l05,mbe02,wet,164.257,6.3031,2.4757,0.271,392.7749837,66.34769964,15
mre05_l01,mre05,wet,291.156,7.6325,3.0724,0.230,402.5417622,94.76500456,29.7
mre05_l02,mre05,wet,284.475,8.0545,3.4650,0.257,430.1943013,82.0995671,29.7
mre05_l03,mre05,wet,237.715,5.7703,2.5235,0.219,437.3256157,94.20051516,29.7
mre05_l04,mre05,wet,349.393,10.5700,4.6500,0.272,439.9243141,75.13827957,29.7
mre05_l05,mre05,wet,392.368,11.0011,4.9710,0.249,451.8639045,78.93140213,29.7
mbe03_l01,mbe03,wet,208.172,6.8005,2.6562,0.311,390.5889273,78.37211053,12.3
mbe03_l02,mbe03,wet,162.828,4.8866,1.8854,0.278,385.8306389,86.36257558,12.3
mbe03_l03,mbe03,wet,233.445,7.5241,2.9114,0.312,386.9432889,80.18307344,12.3
mbe03_l04,mbe03,wet,238.653,7.9178,3.0587,0.317,386.3068024,78.02432406,12.3
mbe03_l05,mbe03,wet,213.008,7.6007,2.9753,0.326,391.4507874,71.59210836,12.3
hcr04_l01,hcr04,wet,90.877,4.8183,1.8029,0.528,374.1776145,50.40601254,18.3
hcr04_l02,hcr04,wet,51.332,2.5682,0.9386,0.524,365.469979,54.68996378,18.3
hcr04_l03,hcr04,wet,130.605,6.8294,2.6571,0.529,389.0678537,49.15321215,18.3
hcr04_l04,hcr04,wet,101.386,5.5847,2.1139,0.557,378.5163035,47.96158759,18.3
hcr04_l05,hcr04,wet,80.266,4.3707,1.8502,0.555,423.3189192,43.38233704,18.3
pco04_l01,pco04,wet,68.329,1.8885,0.5662,0.262,299.8146677,120.6799717,14.7
pco04_l02,pco04,wet,80.914,2.4663,0.7715,0.294,312.8167701,104.8788075,14.7
pco04_l03,pco04,wet,68.419,2.3574,0.7719,0.314,327.4370069,88.63712916,14.7
pco04_l04,pco04,wet,43.588,1.1884,0.3355,0.261,282.3123527,129.9195231,14.7
pco04_l05,pco04,wet,59.116,1.5600,0.4537,0.257,290.8333333,130.2975534,14.7
mbe04_l01,mbe04,wet,247.593,11.0357,4.6466,0.376,421.0516777,53.28476736,30.5
mbe04_l02,mbe04,wet,149.432,5.2662,2.3162,0.327,439.8237819,64.51601762,30.5
mbe04_l03,mbe04,wet,205.524,6.7692,2.5902,0.307,382.6449211,79.34676859,30.5
mbe04_l04,mbe04,wet,226.540,8.4168,3.5397,0.365,420.5517536,63.99977399,30.5
mbe04_l05,mbe04,wet,175.900,7.0160,3.0930,0.383,440.8494869,56.87035241,30.5
ppi02_l01,ppi02,wet,384.067,7.9430,4.0313,0.180,507.5286416,95.27125245,7.3
ppi02_l02,ppi02,wet,852.412,17.3016,8.8144,0.204,509.4557729,96.70675259,7.3
ppi02_l03,ppi02,wet,559.339,11.1555,5.7925,0.176,519.2505939,96.56262408,7.3
ppi02_l04,ppi02,wet,434.337,8.1795,4.2014,0.160,513.6499786,103.3791117,7.3
ppi02_l05,ppi02,wet,413.992,7.6384,4.0373,0.170,528.5531001,102.5417977,7.3
bbr04_l01,bbr04,wet,121.547,3.4610,1.0528,0.239,304.1895406,115.4511778,7.5
bbr04_l02,bbr04,wet,155.774,4.9866,1.5989,0.260,320.6393134,97.42573019,7.5
bbr04_l03,bbr04,wet,133.689,3.9822,1.0707,0.255,268.8714781,124.8613057,7.5
bbr04_l04,bbr04,wet,124.952,3.6291,1.0147,0.250,279.601003,123.1418153,7.5
bbr04_l05,bbr04,wet,98.908,3.0510,0.9835,0.272,322.3533268,100.5673615,7.5
hcr05_l01,hcr05,dry,119.937,6.1054,1.7538,0.535,287.2539064,68.38693124,18.9
hcr05_l02,hcr05,dry,114.561,6.4608,1.8840,0.600,291.6047548,60.80732484,18.9
hcr05_l03,hcr05,dry,132.995,6.8500,2.0217,0.555,295.1386861,65.78374635,18.9
hcr05_l04,hcr05,dry,119.189,6.1716,1.7720,0.513,287.121654,67.26241535,18.9
hcr05_l05,hcr05,dry,112.797,5.9520,1.8128,0.546,304.5698925,62.22252868,18.9
mbe05_l01,mbe05,wet,165.705,4.8743,1.7826,0.252,365.7140512,92.95691686,34.8
mbe05_l02,mbe05,wet,191.244,5.9194,2.2792,0.266,385.0390242,83.90838891,34.8
mbe05_l03,mbe05,wet,133.861,3.6862,1.4235,0.236,386.1700396,94.03652968,34.8
mbe05_l04,mbe05,wet,171.960,5.4483,2.1078,0.274,386.8729696,81.58269286,34.8
mbe05_l05,mbe05,wet,215.180,6.3745,2.3309,0.246,365.6600518,92.31627268,34.8
twa07_l01,twa07,dry,63.404,1.2147,0.4410,0.181,363.0526056,143.7732426,11.5
twa07_l02,twa07,dry,57.334,1.1230,0.4182,0.182,372.3953695,137.0970827,11.5
twa07_l03,twa07,dry,37.367,0.7213,0.2688,0.179,372.6604741,139.0141369,11.5
twa07_l04,twa07,dry,36.954,0.6136,0.2099,0.169,342.0795306,176.0552644,11.5
twa07_l05,twa07,dry,55.592,1.0683,0.3971,0.179,371.7120659,139.9949635,11.5
tfl04_l01,tfl04,wet,61.015,1.4337,0.5575,0.232,388.8540141,109.4439462,12.3
tfl04_l02,tfl04,wet,49.007,1.1312,0.4080,0.222,360.678925,120.1151961,12.3
tfl04_l03,tfl04,wet,42.799,1.0180,0.3848,0.218,377.9960707,111.2240125,12.3
tfl04_l04,tfl04,wet,39.405,0.8332,0.3019,0.208,362.3379741,130.5233521,12.3
tfl04_l05,tfl04,wet,21.691,0.4519,0.1620,0.215,358.4863908,133.8950617,12.3
tfl05_l01,tfl05,wet,28.828,0.6289,0.2272,0.192,361.265702,126.8838028,9.3
tfl05_l02,tfl05,wet,35.472,0.8365,0.2876,0.225,343.8135087,123.3379694,9.3
tfl05_l03,tfl05,wet,32.788,0.7491,0.2368,0.210,316.1126685,138.4628378,9.3
tfl05_l04,tfl05,wet,23.835,0.4753,0.1617,0.196,340.2061856,147.4025974,9.3
tfl05_l05,tfl05,wet,35.432,0.7677,0.3386,0.200,441.0577048,104.6426462,9.3
pec05_l01,pec05,wet,26.268,0.4828,0.1393,0.164,288.5252693,188.5714286,9.2
pec05_l02,pec05,wet,33.419,0.7647,0.2658,0.196,347.5872891,125.7298721,9.2
pec05_l03,pec05,wet,30.452,0.6651,0.2208,0.187,331.9801534,137.9166667,9.2
pec05_l04,pec05,wet,27.885,0.5769,0.1853,0.174,321.1995146,150.4856989,9.2
pec05_l05,pec05,wet,28.155,0.6283,0.2150,0.186,342.1932198,130.9534884,9.2
pco05_l01,pco05,wet,57.024,1.3392,0.5544,0.253,413.9784946,102.8571429,9.7
pco05_l02,pco05,wet,59.143,1.2899,0.4386,0.231,340.0263586,134.8449612,9.7
pco05_l03,pco05,wet,53.126,1.2037,0.4165,0.227,346.0164493,127.5534214,9.7
pco05_l04,pco05,wet,43.491,1.0283,0.3259,0.244,316.9308568,133.4489107,9.7
pco05_l05,pco05,wet,59.473,1.3761,0.5618,0.244,408.255214,105.8615166,9.7
afr05_l01,afr05,dry,26.401,0.4351,0.0690,0.162,158.5842335,382.6231884,3.5
afr05_l02,afr05,dry,20.656,0.3783,0.0773,0.176,204.3351837,267.2186287,3.5
afr05_l03,afr05,dry,21.908,0.3862,0.1200,0.171,310.7198343,182.5666667,3.5
afr05_l04,afr05,dry,23.287,0.3788,0.1238,0.160,326.8215417,188.1017771,3.5
afr05_l05,afr05,dry,20.808,0.3713,0.1144,0.164,308.1066523,181.8881119,3.5
mba05_l01,mba05,dry,412.016,5.8142,2.7485,0.178,472.7219566,149.9057668,8.4
mba05_l02,mba05,dry,408.111,5.5414,2.7368,0.187,493.8824124,149.1197749,8.4
mba05_l03,mba05,dry,501.585,6.8459,3.4498,0.184,503.9220555,145.3953852,8.4
mba05_l04,mba05,dry,358.190,5.2660,2.4767,0.181,470.3190277,144.6238947,8.4
mba05_l05,mba05,dry,248.232,3.5730,1.8274,0.195,511.4469633,135.8388968,8.4
mba03_l01,mba03,dry,233.104,4.3828,2.3634,0.275,539.2443187,98.63078616,10.4
mba03_l02,mba03,dry,201.982,3.5209,1.7794,0.240,505.3821466,113.5112959,10.4
mba03_l03,mba03,dry,283.748,4.8741,2.4807,0.240,508.9554995,114.3822308,10.4
mba03_l04,mba03,dry,398.838,6.4735,3.1852,0.208,492.0367653,125.215999,10.4
mba03_l05,mba03,dry,328.027,5.2024,2.4035,0.208,461.9983085,136.478885,10.4
mba04_l01,mba04,dry,152.549,1.8606,0.9176,0.176,493.1742449,166.2478204,9.6
mba04_l02,mba04,dry,395.161,6.8887,2.6677,0.223,387.2573925,148.1279754,9.6
mba04_l03,mba04,dry,444.365,8.4731,2.9006,0.233,342.330434,153.1976143,9.6
mba04_l04,mba04,dry,377.703,6.2684,2.9836,0.216,475.9747304,126.593042,9.6
mba04_l05,mba04,dry,337.133,5.9674,2.5983,0.221,435.415759,129.7513759,9.6
mgi05_l01,mgi05,dry,1791.863,40.8740,15.9610,0.369,390.4927338,112.2650836,14.2
mgi05_l02,mgi05,dry,1118.254,23.3607,10.1419,0.332,434.1436686,110.2607993,14.2
mgi05_l03,mgi05,dry,1217.841,23.7120,10.9171,0.326,460.4040148,111.5535261,14.2
mgi05_l04,mgi05,dry,1495.532,38.1992,16.7529,0.399,438.5667763,89.27003683,14.2
mgi05_l05,mgi05,dry,1809.052,33.8513,19.6493,0.293,580.4592438,92.06699475,14.2
kma03_l01,kma03,dry,44.566,0.9647,0.3736,0.178,387.2706541,119.2880086,5
kma03_l02,kma03,dry,61.159,1.2832,0.5266,0.177,410.3802993,116.1393847,5
kma03_l03,kma03,dry,69.028,1.5033,0.6155,0.171,409.4325817,112.149472,5
kma03_l04,kma03,dry,74.056,1.5237,0.6116,0.170,401.39135,121.0856769,5
kma03_l05,kma03,dry,132.701,2.6304,1.0765,0.169,409.2533455,123.270785,5
mgi04_l01,mgi04,dry,1644.409,32.1421,14.3062,#DIV/0!,445.0922622,114.9438006,31.7
mgi04_l02,mgi04,dry,1141.341,23.3905,10.2445,#DIV/0!,437.9769565,111.4101225,31.7
mgi04_l03,mgi04,dry,1301.733,23.1114,11.2448,#DIV/0!,486.5477643,115.7631083,31.7
mgi04_l04,mgi04,dry,1151.076,22.6712,12.2893,#DIV/0!,542.0665867,93.66489548,31.7
mgi04_l05,mgi04,dry,1503.710,25.9320,14.9268,#DIV/0!,575.6131421,100.7389394,31.7
xfl03_l01,xfl03,dry,60.317,1.1877,0.4203,0.233,353.8772417,143.509398,0
xfl03_l02,xfl03,dry,69.854,1.3909,0.5168,0.224,371.557984,135.1664087,0
xfl03_l03,xfl03,dry,74.524,1.5178,0.5136,0.241,338.3845039,145.1012461,0
xfl03_l04,xfl03,dry,90.726,1.7434,0.5623,0.219,322.5306872,161.3480349,0
xfl03_l05,xfl03,dry,98.839,1.8564,0.7386,0.211,397.866839,133.819388,0
xfl04_l01,xfl04,wet,23.665,0.6501,0.2130,0.304,327.6419012,111.1032864,0
xfl04_l02,xfl04,wet,29.181,0.6631,0.2775,0.243,418.4889157,105.1567568,0
