Leaf,UE1.1,UE1.2,UE1.3,UE1.4,UE1.5,UE2.1,UE2.2,UE2.3,UE2.5,UE2.5,UE3.1,UE3.2,UE3.3,UE3.4,UE3.5,LE1.1,LE1.2,LE1.3,LE1.4,LE1.5,LE2.1,LE2.2,LE2.3,LE2.4,LE2.5,LE3.1,LE3.2,LE3.3,LE3.4,LE3.5,PM1.1,PM1.2,PM1.3,PM1.4,PM1.5,PM2.1,PM2.2,PM2.3,PM2.4,PM2.5,PM3.1,PM3.2,PM3.3,PM3.4,PM3.5,SM1.1,SM1.2,SM1.3,SM1.4,SM1.5,SM2.1,SM2.2,SM2.3,SM2.4,SM2.5,SM3.1,SM3.2,SM3.3,SM3.4,SM3.5,UC1.1,UC1.2,UC1.3,UC1.4,UC1.5,UC2.1,UC2.2,UC2.3,UC2.4,UC2.5,UC3.1,UC3.2,UC3.3,UC3.4,UC3.5,LC1.1,LC1.2,LC1.3,LC1.5,LC1.5,LC2.1,LC2.2,LC2.3,LC2.4,LC2.5,LC3.1,LC3.2,LC3.3,LC3.4,LC3.5,Data collected by
AAN04-01-01,44.22554319,44.83615227,41.52141728,38.46837189,32.71120059,44.13831332,35.58978624,35.24086676,33.4962694,35.58978624,35.24086676,37.24715373,34.71748755,37.94499268,33.67072914,9.508055637,7.588998536,9.595285505,7.763458272,8.984676428,10.29312445,8.897446559,7.763458272,10.55481406,10.81650366,8.810216691,9.682515373,9.682515373,6.89115959,7.327308931,69.43497511,65.59686091,64.37564275,70.04558419,65.42240117,77.19843338,85.83419034,87.14263836,99.87819912,90.80629283,92.8125798,85.6597306,88.88723572,81.90884627,79.72809956,110.6074729,108.3394963,110.7819327,112.7882196,118.6326208,120.6389078,110.520243,105.1119912,105.3736808,124.3025622,119.6793792,127.1811479,121.2495168,125.8726999,131.8915608,8.199607613,5.582711567,7.763458272,6.803929722,5.757171303,7.240079063,6.455010249,8.722986823,8.025147877,7.501768668,6.106090776,6.106090776,5.757171303,7.414538799,5.582711567,4.012573939,3.576424597,3.838114202,3.576424597,3.663654466,3.314734993,3.314734993,3.838114202,4.44872328,3.314734993,5.669941435,5.582711567,5.233792094,4.797642753,4.710412884,Huang Jie
AAN04-01-02,33.4962694,32.10059151,58.70570132,49.89548463,47.19135871,38.38114202,43.61493411,44.05108346,43.44047438,42.8298653,37.85776281,35.76424597,45.01061201,46.14460029,33.06012006,9.682515373,6.455010249,6.716699854,8.461297218,6.542240117,6.542240117,6.803929722,5.40825183,6.542240117,9.3335959,7.937918009,9.595285505,8.025147877,6.280550512,5.582711567,93.16149927,91.59136164,96.99961347,91.94028111,95.51670571,93.85933821,94.29548755,96.9123836,104.1524627,74.6687672,75.80275549,73.62200878,101.971716,105.286451,94.55717716,90.28291362,113.9222079,117.3241728,113.9222079,102.6695549,105.6353704,96.21454466,98.65698097,99.00590044,100.1398887,99.44204978,115.841265,118.8943104,125.6982401,132.8510893,6.978389458,6.978389458,6.455010249,7.152849195,7.676228404,6.89115959,4.884872621,5.40825183,4.361493411,7.588998536,4.187033675,4.361493411,3.663654466,6.106090776,5.582711567,3.140275256,3.314734993,3.053045388,3.489194729,3.838114202,5.059332357,3.576424597,2.267976574,3.576424597,2.791355783,3.314734993,3.314734993,4.535953148,3.838114202,3.576424597,Huang Jie
AAN04-01-03,26.51787994,35.85147584,37.50884334,25.64558126,28.43693704,32.44951098,30.35599414,29.04754612,29.04754612,27.7390981,33.4962694,38.9917511,37.072694,28.08801757,26.3434202,10.38035432,10.72927379,9.682515373,8.461297218,8.461297218,7.414538799,8.810216691,8.025147877,7.501768668,7.676228404,7.850688141,6.629469985,7.501768668,8.112377745,6.629469985,77.46012299,85.48527086,75.54106589,76.0644451,85.9214202,63.93949341,103.8907731,104.2396925,103.7163133,93.59764861,99.87819912,80.25147877,99.79096925,81.64715666,90.02122401,106.3332094,113.224369,106.9438184,98.65698097,104.7630717,109.1245652,128.4895959,138.346571,110.8691625,107.2055081,108.3394963,110.2585534,105.286451,116.6263338,125.4365505,5.93163104,6.455010249,5.233792094,5.059332357,6.106090776,6.629469985,5.582711567,4.187033675,3.838114202,3.838114202,4.099803807,5.844401171,4.972102489,4.535953148,4.187033675,4.884872621,4.361493411,4.710412884,3.314734993,3.663654466,3.314734993,4.972102489,4.710412884,4.012573939,4.710412884,5.233792094,4.099803807,5.40825183,4.361493411,4.710412884,Huang Jie
AAN04-01-04,36.63654466,35.67701611,39.60236018,38.11945242,35.93870571,42.65540556,36.28762518,44.22554319,38.46837189,43.0915549,36.89823426,38.11945242,26.0817306,25.03497218,24.94774231,8.810216691,7.327308931,6.978389458,7.676228404,8.112377745,6.367780381,7.676228404,9.3335959,10.03143485,8.025147877,8.37406735,9.944204978,5.233792094,6.106090776,6.629469985,101.6227965,108.9501054,105.1992211,81.64715666,77.11120351,93.0742694,91.06798243,94.81886676,96.650694,76.15167496,103.6290835,103.9780029,106.7693587,99.00590044,97.69745242,86.61925915,92.63812006,89.67230454,80.51316837,87.40432796,98.91867057,108.7756457,105.0247613,101.7100264,101.5355666,104.4141523,84.52574231,91.4169019,79.9025593,102.7567848,5.582711567,4.884872621,4.710412884,5.844401171,5.233792094,5.757171303,4.187033675,6.106090776,3.838114202,3.838114202,3.489194729,3.053045388,2.180746706,2.791355783,3.838114202,4.012573939,3.314734993,2.791355783,3.314734993,4.361493411,3.489194729,5.059332357,3.314734993,4.797642753,3.314734993,3.489194729,4.187033675,3.140275256,4.187033675,3.576424597,Huang Jie
AAN04-01-05,42.8298653,30.96660322,33.757959,32.88566032,35.1536369,33.06012006,36.89823426,41.69587701,24.1626735,23.37760469,22.33084627,22.85422548,31.48998243,34.01964861,31.05383309,8.199607613,6.629469985,6.629469985,8.635756955,5.40825183,5.844401171,5.059332357,6.280550512,5.669941435,7.850688141,5.93163104,7.763458272,6.455010249,6.629469985,6.803929722,92.28920059,95.60393558,96.650694,84.78743192,92.63812006,88.62554612,99.44204978,112.9626794,98.91867057,100.5760381,75.19214641,99.09313031,97.61022255,91.4169019,83.7406735,102.8440146,97.52299268,101.971716,81.55992679,101.5355666,89.84676428,107.2055081,115.9284949,120.2027584,111.4797716,103.0184744,100.9249575,105.286451,116.8007936,114.2711274,4.884872621,4.710412884,5.40825183,4.44872328,3.140275256,5.495481698,4.710412884,4.710412884,5.146562225,4.884872621,5.146562225,4.710412884,4.972102489,4.710412884,5.844401171,3.053045388,4.710412884,3.140275256,3.576424597,3.838114202,2.96581552,3.314734993,4.797642753,4.274263543,5.146562225,3.92534407,4.44872328,5.233792094,3.838114202,2.44243631,Huang Jie
AAN04-02-01,38.64283163,38.9917511,42.30648609,34.28133821,34.36856808,43.17878477,43.87662372,39.42790044,30.00707467,34.28133821,34.10687848,40.64911859,37.50884334,33.58349927,37.85776281,12.21218155,9.071906296,8.548527086,6.193320644,7.065619327,6.629469985,8.548527086,5.233792094,7.763458272,6.018860908,6.978389458,5.233792094,5.757171303,6.89115959,5.233792094,84.0023631,85.22358126,107.9905769,78.33242167,64.89902196,81.38546706,87.5787877,90.02122401,87.84047731,104.588612,80.94931772,95.86562518,79.03026061,84.78743192,79.64086969,85.22358126,89.32338507,85.22358126,91.1552123,84.96189165,84.08959297,96.9123836,83.7406735,92.11474085,98.5697511,104.2396925,97.61022255,112.1776105,108.9501054,105.286451,6.106090776,6.106090776,5.757171303,6.018860908,5.40825183,5.40825183,5.059332357,6.803929722,6.367780381,5.757171303,6.280550512,5.669941435,5.669941435,5.40825183,5.844401171,4.274263543,3.92534407,4.535953148,3.838114202,4.535953148,4.012573939,2.704125915,3.489194729,3.489194729,3.92534407,4.44872328,4.797642753,4.797642753,4.274263543,4.623183016,Huang Jie
AAN04-02-02,35.32809663,40.30019912,34.45579795,33.40903953,37.24715373,44.13831332,32.79843045,36.98546413,39.16621083,35.50255637,32.53674085,33.2345798,35.1536369,28.0007877,34.71748755,11.68880234,6.629469985,5.233792094,5.40825183,5.059332357,8.984676428,6.018860908,4.44872328,5.495481698,11.77603221,8.548527086,8.897446559,10.81650366,7.763458272,7.850688141,83.65344363,82.60668521,96.04008492,91.32967204,90.54460322,98.30806149,85.74696047,109.6479444,96.99961347,105.286451,100.9249575,103.9780029,106.4204392,99.44204978,102.8440146,128.3151362,116.7135637,120.5516779,115.841265,118.3709312,115.4051157,106.9438184,104.9375315,95.42947584,101.3611069,100.9249575,103.0184744,107.9905769,109.2990249,109.211795,6.542240117,6.280550512,5.495481698,5.582711567,5.233792094,6.106090776,6.106090776,5.844401171,3.489194729,3.140275256,4.710412884,3.140275256,4.710412884,6.193320644,3.92534407,4.710412884,4.797642753,4.187033675,4.012573939,2.791355783,4.187033675,4.710412884,3.227505124,3.053045388,3.576424597,3.053045388,5.495481698,4.274263543,5.059332357,3.576424597,Huang Jie
AAN04-02-03,36.72377452,37.85776281,35.32809663,35.1536369,34.71748755,36.54931479,38.38114202,34.45579795,33.757959,35.4153265,36.02593558,40.47465886,51.55285212,45.79568082,43.00432504,7.327308931,9.944204978,8.635756955,6.978389458,5.93163104,10.72927379,7.152849195,9.85697511,10.11866471,9.682515373,8.199607613,12.9100205,8.199607613,8.112377745,10.11866471,109.5607145,108.4267262,83.7406735,100.8377277,91.94028111,77.9835022,79.9025593,83.91513324,83.47898389,89.32338507,103.1929341,85.57250073,103.9780029,83.39175403,73.01139971,86.70648902,91.76582138,84.26405271,97.17407321,96.38900439,104.1524627,99.87819912,103.1929341,109.8224041,112.7009898,77.02397365,83.7406735,92.46366032,74.84322694,89.67230454,8.199607613,6.978389458,6.89115959,7.152849195,6.629469985,7.850688141,6.280550512,7.676228404,7.501768668,8.984676428,6.978389458,6.978389458,8.897446559,7.065619327,8.112377745,3.663654466,4.535953148,4.361493411,5.059332357,3.140275256,4.361493411,4.44872328,3.314734993,3.576424597,2.96581552,3.489194729,3.489194729,3.140275256,4.187033675,3.314734993,Huang Jie
AAN04-02-04,37.24715373,36.20039531,29.48369546,35.06640703,30.87937335,37.59607321,41.95756662,40.21296925,34.28133821,39.16621083,44.7489224,50.68055344,46.6679795,40.12573939,38.20668228,12.03772182,12.12495168,8.025147877,11.86326208,10.11866471,10.46758419,8.897446559,7.065619327,9.3335959,11.51434261,11.51434261,10.90373353,10.90373353,9.508055637,11.42711274,80.42593851,77.54735286,72.22633089,73.88369839,72.4880205,75.27937628,77.46012299,69.43497511,75.97721523,68.21375695,82.69391508,83.39175403,95.60393558,71.17957247,83.04283455,98.39529136,97.52299268,106.1587496,98.8314407,103.0184744,94.38271742,87.5787877,98.04637189,88.01493704,95.60393558,93.68487848,98.04637189,111.8286911,97.17407321,93.51041874,7.501768668,6.280550512,5.757171303,6.280550512,7.501768668,5.059332357,3.92534407,6.629469985,4.361493411,5.93163104,6.367780381,7.327308931,8.112377745,6.803929722,7.152849195,5.93163104,4.012573939,2.44243631,4.099803807,4.710412884,6.629469985,6.978389458,6.455010249,6.455010249,5.582711567,7.676228404,5.93163104,5.059332357,5.582711567,4.44872328,Huang Jie
AAN04-02-05,40.73634846,42.13202635,39.95127965,37.85776281,39.42790044,33.32180966,32.97289019,34.28133821,34.54302782,33.93241874,36.20039531,46.84243924,40.73634846,38.81729136,35.06640703,7.676228404,9.071906296,7.937918009,8.548527086,9.246366032,9.159136164,10.29312445,6.455010249,7.763458272,8.722986823,8.722986823,5.495481698,9.769745242,6.018860908,7.152849195,83.30452416,78.15796193,78.15796193,74.84322694,81.21100732,76.0644451,81.12377745,66.90530893,79.03026061,78.68134114,85.22358126,85.398041,85.22358126,86.96817862,80.33870864,85.13635139,81.12377745,88.97446559,92.46366032,98.22083163,86.09587994,81.55992679,84.52574231,83.47898389,92.02751098,83.7406735,90.63183309,94.55717716,95.86562518,95.16778624,7.152849195,7.676228404,7.501768668,7.414538799,7.152849195,6.803929722,7.327308931,6.978389458,7.327308931,7.152849195,7.763458272,9.071906296,5.757171303,6.629469985,6.629469985,3.838114202,4.535953148,5.93163104,4.535953148,7.588998536,4.710412884,8.286837482,5.40825183,6.106090776,5.844401171,4.44872328,4.361493411,6.455010249,6.629469985,6.89115959,Huang Jie
